Frame;MethodName;RunTime;
00:09:02;PaintVideo;0.2977;
00:09:03;GetVideoFrameFromVIP;5.6926;
00:09:03;PaintVideo;0.2663;
00:09:04;GetVideoFrameFromVIP;5.2585;
00:09:04;PaintVideo;0.302;
00:09:05;GetVideoFrameFromVIP;5.4961;
00:09:05;PaintVideo;0.274;
00:09:06;GetVideoFrameFromVIP;5.5098;
00:09:06;PaintVideo;0.2732;
00:09:07;GetVideoFrameFromVIP;6.582;
00:09:07;PaintVideo;0.4134;
00:09:08;GetVideoFrameFromVIP;5.3652;
00:09:08;PaintVideo;0.2945;
00:09:09;GetVideoFrameFromVIP;5.031;
00:09:09;PaintVideo;0.2885;
00:09:10;GetVideoFrameFromVIP;5.1831;
00:09:10;PaintVideo;0.2839;
00:09:11;GetVideoFrameFromVIP;5.4039;
00:09:11;PaintVideo;0.2853;
00:09:12;GetVideoFrameFromVIP;5.2903;
00:09:12;PaintVideo;0.2688;
00:09:13;GetVideoFrameFromVIP;5.411;
00:09:13;PaintVideo;0.2864;
00:09:14;GetVideoFrameFromVIP;5.1559;
00:09:14;PaintVideo;0.2901;
00:09:15;GetVideoFrameFromVIP;5.6739;
00:09:15;PaintVideo;0.3017;
00:09:16;GetVideoFrameFromVIP;5.4958;
00:09:16;PaintVideo;0.2768;
00:09:17;GetVideoFrameFromVIP;5.6188;
00:09:17;PaintVideo;0.4771;
00:09:18;GetVideoFrameFromVIP;5.2817;
00:09:18;PaintVideo;0.2727;
00:09:19;GetVideoFrameFromVIP;5.1199;
00:09:19;PaintVideo;0.2851;
00:09:20;GetVideoFrameFromVIP;5.6939;
00:09:20;PaintVideo;0.2661;
00:09:21;GetVideoFrameFromVIP;5.3007;
00:09:21;PaintVideo;0.2775;
00:09:22;GetVideoFrameFromVIP;5.5211;
00:09:22;PaintVideo;0.3266;
00:09:23;GetVideoFrameFromVIP;119.232;
00:09:23;PaintVideo;0.4465;
00:09:23;RenderFrame;119.878;
00:09:24;GetVideoFrameFromVIP;27.1384;
00:09:24;PaintVideo;1.1148;
00:09:24;RenderFrame;28.5461;
00:10:00;GetVideoFrameFromVIP;7.9087;
00:10:00;PaintVideo;0.2712;
00:10:01;GetVideoFrameFromVIP;45.5019;
00:10:01;PaintVideo;0.2344;
00:10:01;RenderFrame;45.89;
00:10:02;GetVideoFrameFromVIP;10.3709;
00:10:02;PaintVideo;0.2893;
00:10:02;RenderFrame;10.819;
00:10:03;GetVideoFrameFromVIP;10.474;
00:10:03;PaintVideo;0.3018;
00:10:03;RenderFrame;11.0057;
00:10:04;GetVideoFrameFromVIP;10.4175;
00:10:04;PaintVideo;0.5405;
00:10:04;RenderFrame;11.0731;
00:10:05;GetVideoFrameFromVIP;10.6306;
00:10:05;PaintVideo;0.2887;
00:10:05;RenderFrame;11.0204;
00:10:06;GetVideoFrameFromVIP;10.5973;
00:10:06;PaintVideo;0.2868;
00:10:06;RenderFrame;10.9827;
00:10:07;GetVideoFrameFromVIP;10.7097;
00:10:07;PaintVideo;0.5368;
00:10:07;RenderFrame;11.3643;
00:10:08;GetVideoFrameFromVIP;10.5301;
00:10:08;PaintVideo;0.2942;
00:10:08;RenderFrame;10.9341;
00:10:09;GetVideoFrameFromVIP;10.7376;
00:10:09;PaintVideo;0.2862;
00:10:09;RenderFrame;11.1173;
00:10:10;GetVideoFrameFromVIP;10.9271;
00:10:10;PaintVideo;0.3181;
00:10:10;RenderFrame;11.3482;
00:10:11;GetVideoFrameFromVIP;10.4231;
00:10:11;PaintVideo;0.3134;
00:10:11;RenderFrame;10.8356;
00:10:12;GetVideoFrameFromVIP;10.9137;
00:10:12;PaintVideo;0.3321;
00:10:12;RenderFrame;11.352;
00:10:13;GetVideoFrameFromVIP;10.4221;
00:10:13;PaintVideo;0.5184;
00:10:13;RenderFrame;11.1888;
00:10:14;GetVideoFrameFromVIP;10.6406;
00:10:14;PaintVideo;0.3175;
00:10:14;RenderFrame;11.0676;
00:10:15;GetVideoFrameFromVIP;10.8379;
00:10:15;PaintVideo;0.3008;
00:10:15;RenderFrame;11.2317;
00:10:16;GetVideoFrameFromVIP;10.4779;
00:10:16;PaintVideo;0.5765;
00:10:16;RenderFrame;11.1541;
00:10:17;GetVideoFrameFromVIP;10.6717;
00:10:17;PaintVideo;0.285;
00:10:17;RenderFrame;11.0592;
00:10:18;GetVideoFrameFromVIP;10.9711;
00:10:18;PaintVideo;0.3624;
00:10:18;RenderFrame;11.5377;
00:10:19;GetVideoFrameFromVIP;10.6278;
00:10:19;PaintVideo;0.4582;
00:10:19;RenderFrame;11.18;
00:10:20;GetVideoFrameFromVIP;10.2483;
00:10:20;PaintVideo;0.3044;
00:10:20;RenderFrame;10.6469;
00:10:21;GetVideoFrameFromVIP;10.9834;
00:10:21;PaintVideo;0.5111;
00:10:21;RenderFrame;11.6328;
00:10:22;GetVideoFrameFromVIP;10.6615;
00:10:22;PaintVideo;0.288;
00:10:22;RenderFrame;11.2449;
00:10:23;GetVideoFrameFromVIP;10.7502;
00:10:23;PaintVideo;0.413;
00:10:23;RenderFrame;11.2961;
00:10:24;GetVideoFrameFromVIP;10.6349;
00:10:24;PaintVideo;0.7989;
00:10:24;RenderFrame;11.9293;
00:11:00;GetVideoFrameFromVIP;10.9286;
00:11:00;PaintVideo;0.4508;
00:11:00;RenderFrame;11.4972;
00:11:01;GetVideoFrameFromVIP;10.5011;
00:11:01;PaintVideo;0.5236;
00:11:01;RenderFrame;11.2526;
