Frame;Duration;
02:05:16;3.3978;
02:05:17;3.218;
02:05:18;2.748;
02:05:19;3.2855;
02:05:20;3.5951;
02:05:21;3.5302;
02:05:22;3.2627;
02:05:23;3.4163;
02:05:24;3.2123;
02:06:00;3.4289;
02:06:01;3.6998;
02:06:02;3.3632;
02:06:03;1.328;
02:06:05;2.8787;
02:06:06;2.8807;
02:06:07;2.9897;
02:06:08;2.7907;
02:06:09;2.6866;
02:06:10;2.7837;
02:06:11;2.8747;
02:06:12;2.9274;
02:06:13;2.8019;
02:06:14;2.7442;
02:06:15;2.7468;
02:06:16;2.7771;
02:06:17;2.7848;
02:06:18;2.8826;
02:06:19;2.7105;
02:06:20;2.7591;
02:06:21;2.8154;
02:06:22;2.8894;
02:06:23;2.871;
02:06:24;3.0497;
02:07:00;2.7404;
02:07:01;2.7228;
02:07:02;2.7318;
02:07:03;2.8082;
02:07:04;2.7732;
02:07:05;2.8583;
02:07:06;2.7974;
02:07:07;2.7245;
02:07:08;2.9033;
02:07:09;2.7743;
02:07:10;2.8559;
02:07:11;2.7057;
02:07:12;2.7711;
02:07:13;2.7851;
02:07:14;2.8979;
02:07:15;2.7821;
02:07:16;2.8563;
02:07:17;2.8462;
02:07:18;2.722;
02:07:19;3.0147;
02:07:20;2.7052;
02:07:21;2.979;
02:07:22;2.7625;
02:07:23;2.7338;
02:07:24;2.7908;
02:08:00;2.8232;
02:08:01;2.7296;
02:08:02;3.0236;
02:08:03;2.7186;
02:08:04;2.7432;
02:08:05;2.7983;
02:08:06;3.0244;
02:08:07;2.8547;
02:08:08;3.0918;
02:08:09;2.9974;
02:08:10;3.0885;
02:08:11;3.046;
02:08:12;2.8036;
02:08:13;3.0048;
02:08:14;2.7942;
02:08:15;2.8075;
02:08:16;2.8034;
02:08:17;2.7141;
02:08:18;2.7742;
02:08:19;2.9626;
02:08:20;2.7192;
02:08:21;2.7543;
02:08:22;2.9587;
02:08:23;2.7418;
02:08:24;2.7204;
02:09:00;3.1016;
02:09:01;2.8138;
02:09:02;2.7047;
02:09:03;2.7768;
02:09:04;2.7613;
02:09:05;2.8014;
02:09:06;2.859;
02:09:07;2.8968;
02:09:08;2.7449;
02:09:09;2.8052;
02:09:10;2.7491;
02:09:11;2.9749;
02:09:12;3.0004;
02:09:13;2.7366;
02:09:14;3.014;
02:09:15;2.5932;
02:09:16;1.8843;
02:09:17;5.0023;
02:09:18;3.072;
02:09:19;3.0774;
02:09:20;2.9683;
02:09:22;2.4244;
02:09:23;2.8269;
02:09:24;2.5513;
02:10:00;2.5604;
02:10:01;2.5974;
02:10:03;3.7084;
02:10:04;4.3401;
02:10:05;4.5835;
02:10:06;3.4889;
02:10:07;3.7679;
02:10:08;3.362;
02:10:09;3.416;
02:10:10;3.4467;
02:10:11;3.3869;
02:10:12;3.9306;
02:10:13;3.3893;
02:10:14;3.4732;
02:10:15;3.3736;
02:10:16;3.4412;
02:10:17;3.2706;
02:10:18;3.2487;
02:10:19;3.304;
02:10:20;3.2559;
02:10:21;3.5654;
02:10:22;3.3041;
02:10:23;3.3742;
02:10:24;3.4567;
02:11:00;3.3933;
02:11:01;3.4353;
02:11:02;3.347;
02:11:03;3.4147;
02:11:04;3.3564;
02:11:05;3.3713;
02:11:06;3.6234;
02:11:07;3.3855;
02:11:08;3.4188;
02:11:09;3.3463;
02:11:10;3.4308;
02:11:11;3.3142;
02:11:12;3.7016;
02:11:13;3.2169;
02:11:14;3.6024;
02:11:15;3.4894;
02:11:16;3.4117;
02:11:17;3.4016;
02:11:18;3.3746;
02:11:19;3.3801;
02:11:20;3.483;
02:11:21;3.3671;
02:11:22;3.4852;
02:11:23;3.4701;
02:11:24;3.4902;
02:12:00;3.4159;
02:12:01;3.5519;
02:12:02;3.521;
02:12:03;3.4756;
02:12:04;3.5197;
02:12:05;3.3679;
02:12:06;3.5019;
02:12:07;3.3863;
02:12:08;3.3935;
02:12:09;3.7704;
02:12:10;3.6832;
02:12:11;3.6181;
02:12:12;3.455;
02:12:13;3.7097;
02:12:14;3.5749;
02:12:15;3.5156;
02:12:16;3.343;
02:12:17;3.3625;
02:12:18;3.7379;
02:12:19;3.4657;
02:12:20;3.4682;
02:12:21;3.3953;
02:12:22;3.6634;
02:12:23;3.1804;
02:12:24;3.2127;
02:13:00;3.2662;
02:13:01;3.282;
02:13:02;3.7824;
02:13:03;3.4179;
02:13:04;3.3624;
02:13:06;3.1073;
02:13:07;3.2122;
02:13:08;3.1167;
02:13:09;3.1353;
02:13:10;3.1691;
02:13:12;4.0986;
02:13:13;4.1015;
02:13:14;4.433;
02:13:15;4.358;
02:13:16;4.3139;
02:13:17;4.7037;
02:13:18;3.8638;
02:13:19;4.4346;
02:13:20;8.8856;
02:13:21;3.749;
02:13:22;3.874;
02:13:23;4.0977;
02:13:24;4.499;
02:14:00;4.2565;
02:14:01;4.2073;
02:14:02;4.1538;
02:14:03;4.0779;
02:14:04;4.0792;
02:14:05;4.2318;
02:14:06;4.4863;
02:14:07;4.1893;
02:14:08;4.3994;
02:14:09;4.2066;
02:14:10;4.3009;
02:14:11;4.1759;
02:14:12;4.3537;
02:14:13;4.3784;
02:14:14;4.3539;
02:14:15;4.1734;
02:14:16;4.3229;
02:14:17;4.3667;
02:14:18;4.2253;
02:14:19;4.2107;
02:14:20;4.4455;
02:14:21;4.1235;
02:14:22;4.1777;
02:14:23;4.4942;
02:14:24;4.2582;
02:15:00;4.2063;
02:15:01;4.1756;
02:15:02;4.4168;
02:15:03;4.1271;
02:15:04;4.2238;
02:15:05;4.1739;
02:15:06;4.3083;
02:15:07;4.2792;
02:15:08;4.1884;
02:15:09;4.5982;
02:15:10;4.0773;
02:15:11;4.147;
02:15:12;4.2322;
02:15:13;4.8059;
02:15:14;5.355;
02:15:15;4.4363;
02:15:16;4.3008;
02:15:17;4.6549;
02:15:18;4.2538;
02:15:19;4.1857;
02:15:20;4.0233;
02:15:21;4.3621;
02:15:22;4.1676;
02:15:23;4.4472;
02:15:24;4.437;
02:16:00;4.5901;
02:16:01;4.195;
02:16:02;4.2273;
02:16:03;4.4222;
02:16:04;4.1917;
02:16:05;4.0453;
02:16:06;4.2939;
02:16:07;4.3476;
02:16:08;4.1447;
02:16:09;4.2214;
02:16:10;4.3705;
02:16:11;4.2989;
02:16:12;4.1952;
02:16:13;4.3751;
02:16:14;4.3158;
02:16:15;4.3998;
02:16:18;4.8654;
02:16:19;4.0237;
02:16:20;4.0787;
02:16:21;3.9323;
02:16:22;4.3001;
02:16:23;4.2557;
02:16:24;4.3411;
02:17:00;4.1374;
02:17:01;4.2759;
02:17:02;4.154;
02:17:03;3.9441;
02:17:04;4.01;
02:17:05;4.2706;
02:17:06;4.0884;
02:17:07;3.864;
02:17:08;3.8041;
02:17:09;4.3794;
02:17:10;3.8827;
02:17:11;3.9479;
02:17:12;3.9008;
02:17:13;4.1215;
02:17:14;3.9278;
02:17:15;3.9518;
02:17:16;3.924;
02:17:17;4.152;
02:17:18;3.8873;
02:17:19;4.0097;
02:17:20;3.9463;
02:17:21;4.1153;
02:17:22;3.9763;
02:17:23;3.9604;
02:17:24;3.8215;
02:18:00;4.1719;
02:18:01;3.9724;
02:18:02;3.9343;
02:18:03;3.9716;
02:18:04;4.3127;
02:18:05;3.9562;
02:18:06;3.9731;
02:18:07;3.9882;
02:18:08;4.1152;
02:18:09;4.1566;
02:18:10;3.9678;
02:18:11;4.2259;
02:18:12;4.2311;
02:18:13;4.026;
02:18:14;4.2443;
02:18:15;3.9547;
02:18:16;4.4306;
02:18:17;4.086;
02:18:18;3.9688;
02:18:19;3.9417;
02:18:20;4.2238;
02:18:21;4.2057;
02:18:22;4.0853;
02:18:23;3.9534;
02:18:24;4.5913;
02:19:00;3.7741;
02:19:01;4.0078;
02:19:02;3.9561;
02:19:03;4.1934;
02:19:04;4.1242;
02:19:05;4.1892;
02:19:06;3.9812;
02:19:07;4.1595;
02:19:08;3.8808;
02:19:09;4.199;
02:19:10;4.1091;
02:19:11;4.1358;
02:19:12;3.866;
02:19:13;3.9771;
02:19:14;4.0659;
02:19:15;4.2429;
02:19:16;4.3119;
02:19:17;4.0114;
02:19:18;4.2296;
02:19:19;4.2962;
02:19:20;4.0549;
02:19:21;3.9546;
02:19:22;3.9067;
02:19:23;4.0946;
02:19:24;3.9201;
02:20:00;4.0346;
02:20:01;3.892;
02:20:02;4.0574;
02:20:03;3.9497;
02:20:04;4.0758;
02:20:05;3.8637;
02:20:06;4.0459;
02:20:07;3.8799;
02:20:08;3.9058;
02:20:09;3.8408;
02:20:10;4.0632;
02:20:11;3.991;
02:20:12;3.9078;
02:20:13;3.9336;
02:20:14;4.0874;
02:20:15;4.4233;
02:20:16;3.8089;
02:20:17;3.8872;
02:20:18;4.6343;
02:20:19;4.1345;
02:20:20;4.2102;
02:20:21;3.8977;
02:20:22;4.2434;
02:20:23;3.9168;
02:20:24;3.9326;
02:21:00;3.8784;
02:21:01;4.1287;
02:21:02;4.0438;
02:21:03;3.8269;
02:21:04;3.8601;
02:21:05;4.0569;
02:21:06;3.7712;
02:21:07;3.8951;
02:21:08;4.0807;
02:21:09;4.175;
02:21:10;3.8797;
02:21:11;3.9045;
02:21:12;3.8603;
02:21:13;3.7877;
02:21:14;3.7036;
02:21:15;3.7171;
02:21:16;3.6938;
02:21:17;3.7398;
02:21:18;4.2345;
02:21:19;4.035;
02:21:20;4.0665;
02:21:21;4.1525;
02:21:22;3.9867;
02:21:23;3.8371;
02:21:24;4.1573;
02:22:00;4.0379;
02:22:01;4.2695;
02:22:02;4.0052;
02:22:03;2.6616;
02:22:04;2.0196;
02:22:05;1.957;
02:22:06;2.0743;
02:22:07;2.1683;
02:22:08;1.9216;
02:22:09;1.8863;
02:22:10;2.1296;
02:22:11;2.1083;
02:22:12;1.8973;
02:22:13;2.0203;
02:22:14;2.0185;
02:22:15;1.9916;
02:22:16;1.9816;
02:22:17;1.9742;
02:22:18;2.1045;
02:22:19;1.9756;
02:22:20;1.9821;
02:22:21;1.9533;
02:22:22;2.1266;
02:22:23;1.9943;
02:22:24;1.9704;
02:23:00;2.3057;
02:23:01;2.1337;
02:23:02;1.9881;
02:23:03;1.9941;
02:23:05;1.9071;
02:23:06;1.4726;
02:23:07;2.0274;
02:23:08;4.905;
02:23:09;5.8857;
02:23:10;4.9531;
02:23:11;5.7347;
02:23:12;5.0073;
02:23:13;4.1679;
02:23:14;3.2074;
02:23:15;2.6786;
02:23:16;2.6189;
02:23:17;2.351;
02:23:18;2.8818;
02:23:19;2.3183;
02:23:20;2.2187;
02:23:21;1.941;
02:23:22;2.0231;
02:23:23;1.766;
02:23:24;1.8092;
02:24:00;1.9415;
02:24:01;1.7797;
02:24:02;1.8399;
02:24:03;1.6486;
02:24:04;1.6952;
02:24:05;1.6699;
02:24:06;1.6774;
02:24:07;1.7762;
02:24:08;1.743;
02:24:09;1.946;
02:24:10;1.7725;
02:24:11;1.6562;
02:24:12;1.7631;
02:24:13;1.7464;
02:24:14;1.7805;
02:24:15;1.7481;
02:24:16;1.7639;
02:24:18;3.2687;
02:24:19;3.1125;
02:24:20;3.1401;
02:24:21;3.5052;
02:24:22;3.2304;
02:24:23;3.2428;
02:24:24;3.0152;
